note_id;note_value;note_description;note_type_params;note_type_attributs;note_stat
1;productivity Rial;Account orange auxiliary;Regional cross-platform Assistant;Pants Savings cultivate;false
2;Table Handmade;Architect Virginia Haven;holistic Intuitive;RAM;true
3;Investment Avon Forges;hacking;Dollar;deploy;false
4;Metal Franc Loaf;Gorgeous programming;Concrete;Keyboard strategize;true
5;Indiana;parsing;Paraguay withdrawal Officer;leading-edge Soap;false
6;Dollar;Automotive;Concrete value-added;payment Sausages Toys;false
7;Architect connecting;optimal core Automotive;Ridge;systems;false
8;Ngultrum Nicaragua envisioneer;Specialist;Automotive Metrics Tuna;Lodge Baby North;true
9;Oklahoma Switchable Buckinghamshire;Music;Palau Credit;green;true
10;input Car;Borders silver Unbranded;backing Borders Configurable;Solutions infomediaries Managed;true
