status_id;status_name;status_abreviation;status_color;status_description;status_user_can_print;status_user_can_update;status_user_can_validate;status_params;status_attributs;status_stat
1;Tennessee Electronics Canyon;Rustic Acc;ROI Savings;Associate Libyan;true;false;true;Lanka Forward;Intranet;false
2;bus;pixel;up;leverage;false;true;false;transmit Industrial;Vanuatu Bedfordshire;false
3;Bedfordshire Health;back prima;Cotton;utilize Dollar Steel;true;true;false;leading-edge Handcrafted bandwidth;Bedfordshire silver;false
4;Islands Salad explicit;extensible;index Designer blue;mission-critical methodologies;false;true;false;South Checking Executive;Frozen;false
5;granular programming content-based;Forward;Walk customized;framework CSS;true;true;true;attitude value-added;bypass methodologies;true
6;Car synthesize collaboration;sky users;partnerships parse;Electronics web-enabled white;true;false;true;Tasty reintermediate Forward;Rial end-to-end;false
7;Creative static;digital Mu;paradigms primary framework;hacking Data;true;true;true;TCP;Street Bedfordshire Montenegro;true
8;Specialist leading-edge;Wooden Re-;up;Accounts hard Moldova;true;true;false;Principal Taka;Games Bike Account;false
9;Investment Tools Yen;Fresh matr;auxiliary Unbranded Pennsylvania;Corporate plum Junctions;false;true;false;GB;override Berkshire Generic;true
10;Eritrea Incredible;Ergonomic;Riel expedite invoice;reboot empower;false;false;false;fuchsia Pizza;back-end Flats Tuna;false
