civility_id;civility_value;civility_description;civility_code;civility_params;civility_attributs;civility_stat
1;cross-platform;Ameliorated Division;definition Health Fresh;turn-key virtual Refined;Island Borders;false
2;Small Specialist open-source;tertiary Egypt Texas;payment Shoes;Uruguayo JBOD;Infrastructure;true
3;Berkshire Guinea-Bissau Lead;Wooden Multi-channelled Configuration;pink global Saudi;installation e-business productivity;Architect seamless Avon;false
4;indexing;Bulgarian Customer wireless;input Rubber;Bedfordshire real-time;Dynamic;true
5;Account;deposit system;Virginia Pine withdrawal;Health;Canada Baby vortals;true
6;firewall;Internal;Frozen calculate;payment Consultant;task-force;true
7;Applications;compressing;Rustic mint Account;analyzing application Azerbaijanian;synthesize Curve Outdoors;false
8;bluetooth;Utah;infrastructure Baht;alliance;back Mobility override;false
9;European Accounts Mews;Colombian Account;black responsive;HDD protocol Metal;Bhutanese;true
10;Turnpike Home;Tuna;intangible Russian quantifying;Implementation platforms Rustic;Profound neural Configurable;false
