check_accreditation_history_id;check_accreditation_history_readed_code;check_accreditation_history_user_id;check_accreditation_history_result;check_accreditation_history_error;check_accreditation_history_date;check_accreditation_history_localisation;check_accreditation_history_ip_adresse;check_accreditation_params;check_accreditation_attributs;check_accreditation_history_stat
1;standardization;71445;true;orchestrate Arkansas Towels;2023-03-31T14:17:23;cultivate;Optimized loyalty Rhode;dynamic Mountains;Morocco;false
2;B2C Clothing;67244;false;circuit;2023-04-01T01:15:40;Cambridgeshire;Home Branch;Developer Passage Liaison;Automotive;false
3;interfaces;15334;true;Small Escudo Tasty;2023-03-31T21:02:27;e-markets Response;Uganda matrix Chicken;primary;Cotton copy Internal;true
4;orchid Account Berkshire;31554;true;conglomeration;2023-03-31T20:41:13;parse Music;Loan Delaware;synthesize;transmitter Bahamian;false
5;Dinar Computer;22090;true;Carolina;2023-03-31T16:31:50;Avon Baby Handcrafted;UIC-Franc e-markets Korean;quantifying microchip Algerian;transmitting Refined Computers;true
6;Account South;61453;true;intermediate Agent;2023-03-31T05:37:10;generate Market SMS;wireless;Krona;Azerbaijanian RAM;true
7;e-enable Automated Concrete;50735;true;North;2023-04-01T02:52:41;Island Concrete;Plastic Frozen Robust;Pizza;Isle Frozen payment;true
8;North;97481;false;mobile invoice;2023-03-31T23:51:46;Streamlined monitor;bypassing supply-chains Compatible;synthesizing Re-engineered;Cheese optical;true
9;Stravenue Plastic integrated;82510;true;Pike Mandatory;2023-03-31T18:18:18;Markets Total Kuwait;orchid lime Outdoors;invoice;Hampshire Home Function-based;false
10;Division;20315;true;driver Account bypass;2023-03-31T22:33:45;alarm Mouse calculate;withdrawal;deposit B2B withdrawal;input;true
