operation_history_id;operation_history_description;operation_history_date;operation_history_user_id;operation_history_old_value;operation_history_new_value;operation_history_old_id;operation_history_new_id;operation_history_imported_file;operation_history_imported_file_path;operation_history_params;operation_history_attributs;operation_history_stat
1;Mission parse Illinois;2023-03-31T11:57:00;97002;24/365 group Borders;parse;89255;56248;array;indexing;Carolina Infrastructure;help-desk relationships Mobility;false
2;payment Buckinghamshire Togo;2023-03-31T14:26:38;75616;Incredible;parsing Upgradable;11250;30310;Tuna Rubber;cross-platform Handmade;convergence strategy Investment;transmit transmit Implementation;true
3;up;2023-03-31T12:15:57;27447;IB;engineer deposit collaborative;67060;9577;Mountains Pataca;facilitate;Unbranded dynamic;Keyboard;true
4;Surinam IB;2023-03-31T23:29:52;183;North;Quality;20556;24971;Kazakhstan PCI;compressing;Computers;Freeway;false
5;wireless;2023-03-31T03:25:04;31234;Card;Shoal;70515;85766;RAM;turquoise wireless Borders;Rial Ball;port indigo Computers;true
6;mint Upgradable Home;2023-03-31T08:59:01;74815;dynamic parse;capability iterate next-generation;64091;37580;Louisiana Berkshire;Reunion Pizza;Korea integrated Down-sized;Dollar Strategist;true
7;mindshare Unit;2023-03-31T05:29:59;84939;Communications Electronics;Loaf hard;47441;10814;Small Towels;Refined;productize Account Representative;Shilling Account blue;true
8;Analyst Avon;2023-03-31T13:33:24;88902;synergy robust Avenue;Towels Multi-channelled integrated;25739;58357;adapter;generate Movies Tasty;Avon Tools Avon;Fresh Executive;true
9;yellow online Investment;2023-03-31T05:40:35;58773;Granite reintermediate International;Borders Chips;57020;6257;Buckinghamshire Associate;collaborative Checking Grocery;Open-source;Soap;false
10;lavender cross-platform Island;2023-03-31T17:20:08;56694;synergies JBOD Director;payment;15583;93391;neural Usability Credit;Macedonia Functionality Sports;Analyst De-engineered;reboot Wooden;true
