field_id;field_name;field_categorie;field_description;field_type;field_params;field_attributs;field_stat
1;Refined;Cheese Customer multi-byte;Human synergy Kids;Planner Producer;Fantastic Nauru Beauty;Senior neural;false
2;National;Principal Wooden TCP;drive USB;vortals;hack Tuna;eyeballs SDD;false
3;withdrawal;Home;Directives;networks proactive;Indiana;Operations Dakota Kong;false
4;Keyboard one-to-one;RAM Identity Chicken;Refined Group withdrawal;Cotton;web-enabled;lavender;true
5;bluetooth;deposit purple JBOD;Identity adapter;Iowa;PCI payment;Direct;false
6;transmit Handmade;5th Chad Generic;Slovenia;parse Account;Producer Producer;incremental enterprise;true
7;Investor Berkshire;matrix virtual Lodge;Gorgeous array Thailand;Towels;Car Interactions zero;programming;false
8;Romania;content-based Principal;Fresh payment;Metal paradigms Intelligent;Architect Architect Ohio;Paradigm UAE;true
9;Maine invoice SMTP;synthesizing;Bedfordshire;SAS Towels parsing;Global scalable niches;Hampshire invoice;false
10;Latvian Interactions;program;Cambridgeshire bypassing Plastic;Account capacitor pink;Frozen deploy SSL;Loan;true
