language_id;language_code;language_name;language_description;language_params;language_attributs;language_stat
1;PCI;value-added;Fantastic mobile Hampshire;Cotton CFA Investor;state;false
2;extend;drive Dynamic;interface cutting-edge Infrastructure;Tasty access;Program Operations Squares;true
3;migration Pizza;Incredible;Concrete deposit;withdrawal port;Awesome Engineer Bedfordshire;true
4;Latvian Regional turquoise;quantifying;system Shoes;Oklahoma Tennessee Delaware;deposit PNG Chief;true
5;system-worthy tertiary;maroon bleeding-edge;Tenge;circuit;up violet;false
6;FTP Keyboard District;encoding Ohio Hawaii;bandwidth;HDD SAS;withdrawal;true
7;Graphical;input;calculate Beauty Monitored;Dollar;Generic;false
8;Electronics Colon;Program Berkshire;deposit disintermediate Account;Credit Metrics syndicate;open-source;true
9;end-to-end protocol portals;Frozen mesh withdrawal;mindshare;Engineer Rubber Frozen;Wisconsin Facilitator encoding;false
10;integrated payment;leading;complexity;Games Berkshire Strategist;Benin user-centric;false
