printing_server_id;printing_server_name;printing_server_description;printing_server_host;printing_server_port;printing_server_dns;printing_server_proxy;printing_server_param_1;printing_server_param_2;printing_server_param_3;printing_server_stat;printing_server_params;printing_server_attributs
1;Versatile Practical;Lebanese Small Bike;back-end facilitate;Buckinghamshire Small navigate;Shoes;deposit drive Chair;JSON;Keyboard connect SMTP;Flats Chicken;true;Gorgeous;indigo drive
2;Generic leading;aggregate Movies moderator;firewall;synergy Tasty;Pizza New;compress deploy Rupee;Mayotte;whiteboard supply-chains;exuding;false;Guernsey Planner Republic;Applications Web New
3;Idaho;Future deposit;Pizza Right-sized;Product Handmade;Small Architect connect;interactive Agent;Computer demand-driven Aruban;Movies Gourde non-volatile;XSS calculate Public-key;false;index Customer;Team-oriented
4;Optional Ergonomic Fresh;stable Bacon;Knoll;Florida;Generic Arabia;withdrawal Salad Outdoors;Small PCI;Cambridgeshire;Soap Accounts methodical;false;Street;virtual Beauty
5;fuchsia program;mesh override Island;concept bluetooth protocol;generating tan maximized;systematic;connect orange;application Berkshire Chicken;driver Dollar Officer;Bedfordshire;true;sensor;Product lavender card
6;plum;Sports Guinea;dynamic copying;Metal customized;Automotive Handcrafted;Ball North;Product Strategist;Soft;EXE up;false;Cambridgeshire card Bike;collaborative Beauty violet
7;Tactics;Camp Towels generate;Rustic calculating clicks-and-mortar;payment Interface;THX tertiary card;Pants synthesize PCI;Berkshire;multi-byte overriding;navigate;false;Cambridgeshire matrix Handmade;Electronics Global
8;TCP invoice archive;infrastructure Swaziland teal;Switzerland circuit Awesome;implement mobile Wooden;online;Avon partnerships blue;Soft Buckinghamshire;human-resource Checking Ball;Electronics wireless multi-byte;false;grey;PNG Response ivory
9;deliver Granite SQL;Table Chicken mint;Agent Product web-enabled;redundant;Global;Oregon;bluetooth Sausages Tasty;fuchsia optimize;override;false;front-end;hard
10;Internal;protocol Generic Mountain;Saint Rupee Turnpike;connecting;bandwidth Awesome;user-centric Cheese;facilitate;withdrawal Mississippi;Market reciprocal;false;JBOD Illinois human-resource;maroon orange
