control_id;control_name;control_description;control_type;control_value_string;control_value_long;control_value_date;control_params;control_attributs;control_value_stat
1;Terrace New;Maryland;optimize maximize;Program Outdoors;13703;2023-04-01T00:32:22;Advanced;Mobility;true
2;Bedfordshire;bottom-line Home;input Pants Cotton;overriding;68438;2023-03-31T11:42:00;Utah Groves;deposit Frozen;false
3;Buckinghamshire;24/7 copying orchid;frame New Gloves;state strategic;53819;2023-03-31T20:43:34;compressing;magenta National Assurance;false
4;Chief cohesive;transmit Progressive;Steel Market;Plastic Practical;9512;2023-03-31T20:48:39;Computer;reboot fuchsia mobile;true
5;Small budgetary;Frozen;Trinidad;Incredible;15318;2023-03-31T06:31:11;Bedfordshire Games Handcrafted;West Corporate;false
6;mint;Jewelery dynamic toolset;Metrics Health;transmitting;78002;2023-03-31T11:31:07;Steel Analyst invoice;convergence;true
7;Practical Fantastic;Gloves Bacon lavender;transmit;24/7 Technician;7511;2023-03-31T06:25:31;Bedfordshire Towels Bolivia;Quality-focused Pizza Assistant;true
8;Account Bacon leverage;Forward;Plain Crossing infomediaries;dedicated grey;56127;2023-03-31T16:09:17;capacitor;hack synthesize withdrawal;true
9;Way Granite Representative;Rupee multimedia;Wooden dynamic FTP;Movies Village Liaison;71069;2023-03-31T07:39:28;withdrawal;Saudi bus;false
10;interactive circuit Associate;withdrawal;Engineer Rubber infomediaries;virtual;8748;2023-03-31T13:29:30;Kip Moldova;mobile sexy;false
